topic,date_kst,idx_domestic,idx_global,idx_overall,article_count,mean_conf
samsung,20250909,-0.13307285507520042,-0.34945257974461214,-0.31819387152591705,88,0.36504164270379325
unh,20250909,-0.4347184896469116,-0.23307984505758259,-0.24171293667924662,20,0.32215696573257446
nvda,20250909,0.27318552136421204,-0.3431532354794432,-0.28657475206328104,10,0.36869271993637087
tsla,20250909,-0.35861510038375854,-0.2530200542184274,-0.25333964465071784,305,0.3527024653602819
aapl,20250909,0.27318552136421204,-0.37388737543797057,-0.3500402937609066,28,0.3991227479917662
msft,20250909,-0.17001578625705513,-0.2520647812631268,-0.217781439771068,89,0.392677366733551
amzn,20250909,-0.37403756380081177,-0.3263279827104834,-0.327296796240192,54,0.4129027658038669
googl,20250909,-0.2722113259412625,-0.24638605662547328,-0.24862498101738562,632,0.34517938231082657
meta,20250909,,-0.34812696503912666,-0.34812696503912666,20,0.46923907548189164
avgo,20250909,-0.0006603002548217874,-0.3847693663677815,-0.35161549692506444,21,0.41126534200849985
tsmc,20250909,-0.2745061218738556,-0.16623841795467917,-0.16983347161287166,25,0.2860087275505066
circleg,20250909,-0.37403756380081177,-0.203674958939718,-0.2156809369658179,14,0.4284464865922928
semiconductor,20250909,-0.12129061420758566,-0.38601041345463544,-0.36107387763371834,29,0.40783797666944305
battery,20250909,-0.43866945414439495,-0.25909844666722426,-0.26078576009977267,302,0.3578813461377131
macro_economy,20250909,-0.4201210227451826,-0.38070851466598116,-0.38397088089360293,58,0.4059656737693425
commodities,20250909,-0.4117022156715393,-0.25862716223504045,-0.26200168548664016,47,0.37214849762460017
